LyricsWiki-Page,Artist,Title,Spotify-ID,Spotify-explicit,Explicit,Strong language,Substance abuse,Sexual reference,References to violence,Discriminatory language
Papa Charlie Jackson:Bright Eyes,Papa Charlie Jackson,Bright Eyes,1Gv1b1efsuVzwg9DrFIREl,0,0,0,0,0,0,0
Michael W. Smith:A New Hallelujah,Michael W. Smith,A New Hallelujah,2FD5V89qMdyVRveumCttza,0,0,0,0,0,0,0
Eric Prydz:Liberate,Eric Prydz,Liberate,1hLcbNJewMOsvk1K4PUR0p,0,0,0,0,0,0,0
Year Of The Rabbit:Strange Eyes,Year Of The Rabbit,Strange Eyes,6BtuCgrItUa51Ncef8eFwQ,0,0,0,0,0,0,0
Roberta Flack:In The Name Of Love,Roberta Flack,In The Name Of Love,4o6WgUstuDJ8BL1m53g8Nj,0,0,0,0,0,0,0
Eva Cassidy:People Get Ready,Eva Cassidy,People Get Ready,3nUzvYH7rtrCtSc3YIK9qE,0,0,0,0,0,0,0
The Maranatha! Singers:Crown Him With Many Crowns / All Hail King Jesus / We Bring The Sacrifice Of Praise,The Maranatha! Singers,Crown Him With Many Crowns / All Hail King Jesus / We Bring The Sacrifice Of Praise,2KOlWZpToozBBPmnR4CLrl,0,0,0,0,0,0,0
Broken Iris:On My Own,Broken Iris,On My Own,4RgPnFqm2ZYwuwhkYLhaIh,0,0,0,0,0,0,0
Cham:Bad Boys,Cham,Bad Boys,2ua3ia1yBr76LyIrUbGZES,0,0,0,0,0,0,0
Maria Mena:So Sweet,Maria Mena,So Sweet,6um2UrDKwnxsjQQ6z1siCi,0,0,0,0,0,0,0
Vangough:Kingdom Of Ruin,Vangough,Kingdom Of Ruin,29RTNgEdalBAXjzjaZQL95,0,0,0,0,0,0,0
Hania:Make It Go Away,Hania,Make It Go Away,0lIX72z7QmgBN25bf3BXRI,0,0,0,0,0,0,0
...And Oceans:The Black Vagabond And The Swan Of Two Heads,...And Oceans,The Black Vagabond And The Swan Of Two Heads,1BMc3CNhnWXIKI6fdAIgUL,0,0,0,0,0,0,0
Lutemkrat:The Age Of Darkness,Lutemkrat,The Age Of Darkness,6qi2mvVCLgmtM95Se1ke7V,0,1,0,0,0,1,0
The Rohan Theatre Band:Please Remain Seated,The Rohan Theatre Band,Please Remain Seated,7CBBMi0FWu1de9cExPTcom,0,1,1,0,0,1,0
Kalmah:Doubtful About It All,Kalmah,Doubtful About It All,0iDNfFcPR7OL8QXCU7Zq8m,0,0,0,0,0,0,0
Bruce Cockburn:Five Fifty-One,Bruce Cockburn,Five Fifty-One,1bBbRIpm5bU3Phtc063Uu6,0,0,0,0,0,0,0
Deicide:Holy Deception,Deicide,Holy Deception,7w1DFzoDFQ2pSgGzJEf63S,0,0,0,0,0,0,0
Amy Grant:Don't Try So Hard,Amy Grant,Don't Try So Hard,1h8lEEMdePXV8a6AGhnm3k,0,0,0,0,0,0,0
Mono Inc.:The Promise,Mono Inc.,The Promise,44ZlVFGWamN9MAP4u8KDxv,0,0,0,0,0,0,0
Underwater Pilots:Loud And Clear,Underwater Pilots,Loud And Clear,3spRb2pJPZhsbOz0UWYrUs,0,0,0,0,0,0,0
Dave McPherson:Summer,Dave McPherson,Summer,3n64zdtQszCFrEjvMxnuRZ,0,0,0,0,0,0,0
Gentle Giant:Design,Gentle Giant,Design,4fozJ1P38WGnrXBQnNpHdj,0,0,0,0,0,0,0
Delain:See Me In Shadow,Delain,See Me In Shadow,3TZhZqfkV1L8HQwAPQczv9,0,0,0,0,0,0,0
Radio Moscow:Timebomb,Radio Moscow,Timebomb,2FF2qdlAfJwpo26Pf06smg,0,0,0,0,0,0,0
Manic Street Preachers:All We Make Is Entertainment,Manic Street Preachers,All We Make Is Entertainment,6St8dLqmkuzbs0XDtNOZyQ,0,0,0,0,0,0,0
Richard & Linda Thompson:Old Man Inside A Young Man,Richard & Linda Thompson,Old Man Inside A Young Man,1vijlEfw4E0scNLD7bUCJg,0,0,0,0,0,0,0
Alison Krauss:Gentle River,Alison Krauss,Gentle River,29j1CK316GcUItqYwt9tCb,0,0,0,0,0,0,0
"10,000 Maniacs:Circle Dream","10,000 Maniacs",Circle Dream,3trGe2IOQk34ydpVRvGvd5,0,0,0,0,0,0,0
Djavan:Fly Me To The Moon,Djavan,Fly Me To The Moon,3WbJBg5P23EhEC7o5NN2lu,0,0,0,0,0,0,0
Figgy Duff:Weather Out The Storm,Figgy Duff,Weather Out The Storm,2cSeNLvEGwZvZRbNA17m36,0,0,0,0,0,0,0
The Flying Burrito Brothers:Colorado,The Flying Burrito Brothers,Colorado,6GL6AINip1hYo9OJnbbZHD,0,0,0,0,0,0,0
AktiveHate:LMTHA,AktiveHate,LMTHA,2kp8Okev97KbQmGppw4K0b,0,0,0,0,0,0,0
Kids In Glass Houses:Raise Hell,Kids In Glass Houses,Raise Hell,11Vv4b0phmGcdwIZVpQ28j,0,0,0,0,0,0,0
Manic Street Preachers:Fearless Punk Ballad,Manic Street Preachers,Fearless Punk Ballad,6JsJzfOTUg2zbYjPjeUt9D,0,0,0,0,0,0,0
Raffi:Like Me And You,Raffi,Like Me And You,02g4wQKFLNNm66F9cU1eIy,0,0,0,0,0,0,0
Vicki Lawrence:I'm Glad I'm Not Her,Vicki Lawrence,I'm Glad I'm Not Her,3BaVFHrtVIby5Xrz7XVAoL,0,0,0,0,0,0,0
Louis Armstrong & Bing Crosby:Lazybones,Louis Armstrong & Bing Crosby,Lazybones,6op5VgnCuudMLEBwEjsZ1q,0,0,0,0,0,0,0
Hackensaw Boys:By And By,Hackensaw Boys,By And By,2LDRT2aGlzvuAhlyBDOoId,0,0,0,0,0,0,0
Honor Society:Two Rebels,Honor Society,Two Rebels,51Oz7nVkhHk9lF55teGWTO,0,1,0,0,0,1,0
Ozma:Rocks,Ozma,Rocks,6MzesWm89CeaJsoIFunb9k,0,0,0,0,0,0,0
Demis Roussos:Loving Arms,Demis Roussos,Loving Arms,4VOxCVhfSoAlGHzonssnp5,0,0,0,0,0,0,0
Mississippi Sheiks:Please Don't Wake It Up,Mississippi Sheiks,Please Don't Wake It Up,5xHEecdMdDBm2DAryYlSg0,0,1,0,0,0,0,1
Trent Dabbs:Follow Suit,Trent Dabbs,Follow Suit,6wq0cCOUlVF2ciXKKgjAtd,0,0,0,0,0,0,0
I Am Ghost:Dark Carnival Of The Immaculate,I Am Ghost,Dark Carnival Of The Immaculate,1I0sKThfAYB0XQrzpFoe5e,0,0,0,0,0,0,0
Ash:Innocent Smile,Ash,Innocent Smile,6vJoqW9ePjnoZ0yHZvFoCf,0,0,0,0,0,0,0
Jonny Lang:If We Try,Jonny Lang,If We Try,49XxKt8AkWpG95q3Hi8xGV,0,0,0,0,0,0,0
Fiona & Kip Winger:Everything You Do (You're Sexing Me),Fiona & Kip Winger,Everything You Do (You're Sexing Me),2LBu8ppBl3aenuqUnBxysH,0,1,1,0,0,0,0
Graham Parker & The Rumour:Problem Child,Graham Parker & The Rumour,Problem Child,3oGGE4bKf3WAFLgL0D9pMY,0,0,0,0,0,0,0
Mark Lanegan:Hit The City,Mark Lanegan,Hit The City,7bzhHKleT7c5EYB83sJhRj,0,1,0,0,0,1,0
Surfer Blood:Taking Care Of Eddy,Surfer Blood,Taking Care Of Eddy,4oAngXJZDXLOsgP8kD4ZPh,0,0,0,0,0,0,0
Stalins War:Panic Attack,Stalins War,Panic Attack,3lBkyuKqgjvevZcPUlVteo,0,0,0,0,0,0,0
H & Claire:Beauty And The Beast,H & Claire,Beauty And The Beast,4Bunk66Eo78zf5G0paZ6zR,0,0,0,0,0,0,0
Sugar Ray:Heaven,Sugar Ray,Heaven,09vnly1o9GLOt0npCyvo3I,0,0,0,0,0,0,0
Novaa:Hands,Novaa,Hands,1uhrXEx09LDxSpZCqad48u,0,1,1,1,0,0,0
Burning Spear:Reggae Physician,Burning Spear,Reggae Physician,08jv2CWRCoIVwpDNanY3dI,0,0,0,0,0,0,0
Taj Mahal:The Hoochi Coochi Coo,Taj Mahal,The Hoochi Coochi Coo,55kcG9LPlRQ7lghgaPL57E,0,1,0,0,1,0,0
Dot Wiggin Band:Boo Hoo,Dot Wiggin Band,Boo Hoo,4xdd3ZIrQNYU52D8WXGWmr,0,0,0,0,0,0,0
Pentagram:Voice,Pentagram,Voice,1MEzQqN2NgLbQs7WcaVMJP,0,0,0,0,0,0,0
Kyoko:Wonder London ~Future Calling~,Kyoko,Wonder London ~Future Calling~,4TSmWT5Mi8T60YrUdalyDM,0,0,0,0,0,0,0
Barenaked Ladies:I Don't Get It Anymore,Barenaked Ladies,I Don't Get It Anymore,4x4P8ZZMQwb7ZE9JfnaNGV,0,0,0,0,0,0,0
Muddy Waters:You Can't Lose What You Ain't Never Had,Muddy Waters,You Can't Lose What You Ain't Never Had,5QgJoPA8XBtc4O5IPwgyNx,0,0,0,0,0,0,0
Major Lazer:Jessica,Major Lazer,Jessica,1OHfhkv0asMP3O8vkQrw1T,0,0,0,0,0,0,0
Sacred Oath:Prophecy,Sacred Oath,Prophecy,3HnvsaVe3psptTKuPxFRxq,0,1,1,0,0,0,0
Starbreaker:Die For You,Starbreaker,Die For You,2k0yxQtUS5381aNrNcjX0o,0,1,1,0,0,1,0
Lou Gramm:Time,Lou Gramm,Time,3pZq7ku6aLlMMUPYNAnI81,0,0,0,0,0,0,0
Secret Dakota Ring:She's Already Made Up Her Mind About It,Secret Dakota Ring,She's Already Made Up Her Mind About It,7Fab2lNSBoX0DMnCKZjtj6,0,0,0,0,0,0,0
Múm:When Girls Collide,Múm,When Girls Collide,7jMuXuhCfls17qg16Cy5cA,0,1,1,0,0,0,0
Andrew W.K.:Never Let Down,Andrew W.K.,Never Let Down,3QH6PctoBloruFVHFAB27X,0,0,0,0,0,0,0
Revocation:Vanitas,Revocation,Vanitas,7GEQ5ZG1DDvffwFI1uezUy,0,1,1,0,0,0,0
Omnisoul:Waiting (Save Your Life),Omnisoul,Waiting (Save Your Life),7MoIvKVDeyPSZYuTOlBOlB,0,0,0,0,0,0,0
Throwing Muses:Civil Disobedience,Throwing Muses,Civil Disobedience,0JA8zqyRMGptrtdzPiKPy2,0,1,0,1,0,0,1
Mac Davis:Half And Half (Song For Sarah),Mac Davis,Half And Half (Song For Sarah),0VMtmZFEcafSNmufZFf4qP,0,1,0,0,1,0,0
Sick City:Xx & Xy,Sick City,Xx & Xy,4kSXh1I7NnemWRP1hZrWEu,0,0,0,0,0,0,0
Van Zant:Get What You Got Comin',Van Zant,Get What You Got Comin',6Db7lNf0xdnXwxgurlzH87,0,0,0,0,0,0,0
The Mr. T Experience:See It Now,The Mr. T Experience,See It Now,7iHR4R5JLCjPwLqBl9UV5n,0,0,0,0,0,0,0
John Martyn:The River,John Martyn,The River,7Moln1xtMMUx0ItCfHK4P7,0,0,0,0,0,0,0
Edwin McCain:Welcome To Struggleville,Edwin McCain,Welcome To Struggleville,4xed5BWZQp7aVhRmJaR0Lb,0,0,0,0,0,0,0
Nat Stuckey:Is It Any Wonder That I Love You,Nat Stuckey,Is It Any Wonder That I Love You,4qgNHH09kFi9Vbg885uAAK,0,0,0,0,0,0,0
"Momus:Old Friend, New Flame",Momus,"Old Friend, New Flame",3y1h4qKleP09XGxTq6CFv4,0,0,0,0,0,0,0
Jeniferever:Cathedral Peak,Jeniferever,Cathedral Peak,0x5cMtkF4Oo2t8nD3Luwbe,0,0,0,0,0,0,0
Darkness Divided:The Will Of Man,Darkness Divided,The Will Of Man,36s0UQNkXTkfOIorlVQWzB,0,0,0,0,0,0,0
Camera Obscura:Alaska,Camera Obscura,Alaska,1CPLchUNZ1Mnl0hRkSY1QB,0,0,0,0,0,0,0
Ken Oak Band:Long Ride,Ken Oak Band,Long Ride,1JkIW70tE1Xfzff92xlstg,0,0,0,0,0,0,0
Dock Boggs:Wise County Jail,Dock Boggs,Wise County Jail,4ij2fVVjQXc32Uxc4syyMk,0,0,0,0,0,0,0
Elvis Presley:O Little Town Of Bethlehem,Elvis Presley,O Little Town Of Bethlehem,6Ai7PiAjnb4eIiC05By0i4,0,0,0,0,0,0,0
The Low Life:Snuffy,The Low Life,Snuffy,0A9YdrfbpfSpK17nJ35HvP,0,0,0,0,0,0,0
Brandy:Apart,Brandy,Apart,0FhO5us8R07ElKYvAv0Wcn,0,0,0,0,0,0,0
The Motels:Annie Told Me,The Motels,Annie Told Me,4NDqKTnPZTIhtmy7zO87On,0,0,0,0,0,0,0
Hootie & The Blowfish:Look Away,Hootie & The Blowfish,Look Away,3VLnzux5eHwpNIbDm6tPNY,0,0,0,0,0,0,0
Nick Mason:Can't Get My Motor To Start,Nick Mason,Can't Get My Motor To Start,74Ebax2re1xcqeswvlUBLi,0,0,0,0,0,0,0
Cage The Elephant:Sabertooth Tiger,Cage The Elephant,Sabertooth Tiger,7cpfM1YKLXjVEbDy9xmypn,0,0,0,0,0,0,0
The Enid:Terra Firma,The Enid,Terra Firma,3qVrEId1Zo0Fqr9UujtPXY,0,1,0,0,0,1,0
Lisa Stansfield:First Joy,Lisa Stansfield,First Joy,3R42JMzQR25CdMDdeMcT35,0,0,0,0,0,0,0
Johnny Mathis:This Christmas,Johnny Mathis,This Christmas,0KS435GiSKB47e67XsR5cN,0,0,0,0,0,0,0
Spiritualized:Anyway That You Want Me,Spiritualized,Anyway That You Want Me,5nsYMr78gAB3mZ38Rblasa,0,0,0,0,0,0,0
Michael Henry And Justin Robinett:Hallelujah,Michael Henry And Justin Robinett,Hallelujah,2GjjuULCe2e6OeY6g5d3Jc,0,0,0,0,0,0,0
Hellion:Easy Action,Hellion,Easy Action,0tCyCHDtbs4S6ckyrdFBLS,0,0,0,0,0,0,0
The Charlatans UK:Crashin' In,The Charlatans UK,Crashin' In,7evr6ESNYgmrxHMen2bpQb,0,0,0,0,0,0,0
Ken Andrews:What Its Like,Ken Andrews,What Its Like,2r4nzQfv4D1E8wwvXsuPGx,0,0,0,0,0,0,0
Drearylands:Story Of A Hero,Drearylands,Story Of A Hero,2FePSkR2HZcOf59r5Bouuh,0,1,0,0,0,1,0
Jeff Buckley:Twelfth Of Never,Jeff Buckley,Twelfth Of Never,5NlyBmYzIpVGj61fqkg3AY,0,0,0,0,0,0,0
The Backyardigans:Castaways,The Backyardigans,Castaways,6uDBSDI9pDM7C4Gm0hc2hI,0,0,0,0,0,0,0
Revocation:Of Unworldly Origin,Revocation,Of Unworldly Origin,42pq00OKAtswvY7JzUjzTR,0,0,0,0,0,0,0
Guided By Voices:All Around The World,Guided By Voices,All Around The World,0xAiJcQLj4fkpNCv0a9O9S,0,0,0,0,0,0,0
The Pigeon Detectives:Everybody Wants Me,The Pigeon Detectives,Everybody Wants Me,28SwofbMfDuKNKeAxKwJAw,0,0,0,0,0,0,0
Anthony Phillips:Lucy,Anthony Phillips,Lucy,3931Z97fTVAO0uiugqkvpL,0,0,0,0,0,0,0
"Cinerama:Dance, Girl, Dance",Cinerama,"Dance, Girl, Dance",6rB6r2qVnGALSzJKudXjGQ,0,0,0,0,0,0,0
